Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
386,Kelly Olynyk,C,32,TOT,78,27,226,35,64,.555,8,20,.387,28,44,.632,.616,19,23,.833,14,39,53,44,9,4,19,29,98
386,Kelly Olynyk,C,32,UTA,50,8,204,29,52,.562,7,17,.429,22,35,.626,.632,16,19,.842,13,38,51,44,7,2,16,26,81
386,Kelly Olynyk,C,32,TOR,28,19,264,47,85,.548,9,25,.338,38,60,.637,.598,25,30,.824,16,40,56,46,13,6,25,35,127
387,Eugene Omoruyi,SF,26,WAS,43,0,91,19,39,.485,3,11,.283,16,28,.562,.524,7,11,.653,8,12,20,8,6,1,5,14,48
388,Cedi Osman,SF,28,SAS,72,3,176,26,53,.479,12,31,.389,14,23,.601,.591,5,7,.673,3,22,25,17,5,2,7,15,68
389,Kelly Oubre Jr.,SF,28,PHI,68,52,302,57,129,.441,15,48,.311,42,81,.517,.498,26,34,.750,14,36,50,15,11,7,13,29,154
390,Chris Paul,PG,38,GSW,58,18,264,36,81,.441,13,36,.371,22,44,.498,.525,7,9,.827,3,36,39,68,12,1,13,19,92
391,Cameron Payne,PG,29,TOT,78,10,167,27,62,.432,13,34,.390,13,27,.486,.541,7,9,.866,3,12,15,26,5,1,8,16,74
391,Cameron Payne,PG,29,MIL,47,2,149,21,47,.455,11,28,.397,10,19,.538,.572,8,9,.841,1,12,13,23,5,1,7,16,62
391,Cameron Payne,PG,29,PHI,31,8,194,35,84,.413,17,44,.382,18,40,.447,.514,7,7,.913,5,13,18,31,6,3,11,17,93
392,Gary Payton II,SG,31,GSW,44,0,155,23,42,.563,5,13,.364,19,29,.648,.617,3,5,.609,10,15,26,11,9,4,6,18,55
393,Mãozinha Pereira,SF,23,MEM,7,1,174,26,50,.514,7,19,.385,19,31,.591,.586,10,14,.700,16,37,53,3,9,6,7,14,69
394,Drew Peterson,PF,24,BOS,3,0,77,13,20,.667,10,17,.600,3,3,1.000,.917,0,0,,0,3,3,3,7,0,3,3,37
395,Filip Petrušev,C,23,TOT,3,0,33,3,7,.500,0,0,,3,7,.500,.500,3,7,.500,0,3,3,0,0,0,0,3,10
395,Filip Petrušev,C,23,PHI,1,0,30,0,0,,0,0,,0,0,,,0,0,,0,10,10,0,0,0,0,0,0
395,Filip Petrušev,C,23,SAC,2,0,35,5,10,.500,0,0,,5,10,.500,.500,5,10,.500,0,0,0,0,0,0,0,5,15
396,Julian Phillips,SF,20,CHI,40,0,81,8,19,.416,3,10,.316,5,10,.513,.494,3,5,.684,3,6,9,3,2,2,3,10,22
397,Jalen Pickett,SG,24,DEN,27,0,45,6,13,.429,3,9,.360,2,4,.600,.557,1,1,.750,0,5,5,8,1,0,3,5,16
398,Scotty Pippen Jr.,PG,23,MEM,21,16,251,48,97,.493,14,34,.417,33,62,.534,.567,20,26,.745,10,21,32,47,17,5,27,29,129
399,Mason Plumlee,C,33,LAC,46,11,147,19,33,.569,0,1,.000,19,32,.592,.569,15,22,.707,13,38,51,12,3,4,8,15,53
400,Brandin Podziemski,SG,20,GSW,74,28,266,37,81,.454,12,32,.385,24,49,.499,.529,7,11,.633,16,42,58,37,8,2,12,16,92
401,Jakob Poeltl,C,28,TOR,50,50,264,50,76,.656,0,0,,50,76,.656,.656,12,21,.551,29,57,86,25,7,15,15,30,111
402,Aleksej Pokusevski,PF,22,TOT,28,0,145,18,43,.405,6,20,.327,11,24,.470,.479,11,15,.732,6,26,32,13,5,5,7,8,52
402,Aleksej Pokusevski,PF,22,OKC,10,0,60,4,16,.250,2,11,.182,2,5,.400,.313,2,4,.500,2,8,10,5,1,1,3,5,12
402,Aleksej Pokusevski,PF,22,CHO,18,0,192,25,58,.429,9,24,.364,16,34,.475,.505,16,21,.757,8,36,44,17,8,7,9,9,74
403,Jordan Poole,SG,24,WAS,78,66,301,63,152,.413,24,72,.326,39,80,.492,.491,25,28,.877,4,23,27,44,11,3,24,31,174
404,Craig Porter Jr.,PG,23,CLE,51,6,127,23,45,.509,2,7,.353,20,38,.536,.535,8,11,.732,4,17,21,23,4,3,9,8,56
405,Jontay Porter,PF,24,TOR,26,5,138,15,40,.385,8,23,.333,8,17,.455,.481,6,7,.833,10,22,32,23,8,8,8,13,44
406,Michael Porter Jr.,SF,25,DEN,81,81,317,64,133,.484,27,68,.397,37,65,.575,.586,11,14,.836,13,57,70,15,5,7,11,18,167
407,Otto Porter Jr.,SF,30,TOR,15,1,116,9,22,.424,5,15,.348,4,7,.600,.545,2,2,1.000,4,15,19,5,3,3,1,13,26
408,Bobby Portis,PF,28,MIL,82,4,245,57,112,.508,12,30,.407,45,82,.545,.562,12,15,.790,17,57,74,13,8,4,11,23,138
409,Kristaps Porziņģis,C,28,BOS,57,57,296,68,132,.516,19,51,.375,49,81,.606,.589,45,53,.858,17,55,72,20,7,19,16,27,201
410,Micah Potter,PF,25,UTA,16,0,116,12,25,.475,6,13,.429,6,12,.526,.588,4,5,.750,6,21,27,4,3,4,3,9,33
411,Dwight Powell,C,32,DAL,63,9,133,11,17,.679,0,0,.333,11,16,.689,.684,10,14,.708,15,19,34,13,4,3,5,18,33
412,Norman Powell,SG,30,LAC,76,3,262,49,101,.486,22,51,.435,27,51,.536,.594,19,23,.831,2,24,26,11,6,3,9,18,139
413,Jason Preston,PG,24,UTA,7,0,101,9,27,.316,0,4,.000,9,23,.375,.316,0,0,,9,16,24,23,3,1,3,4,17
414,Joshua Primo,SG,21,LAC,2,0,50,5,15,.333,0,5,.000,5,10,.500,.333,0,0,,5,0,5,0,0,5,20,0,10
415,Taurean Prince,PF,29,LAL,78,49,270,32,73,.442,18,46,.396,14,28,.519,.566,6,9,.735,3,27,29,15,7,4,9,19,89
416,Payton Pritchard,PG,26,BOS,82,5,223,36,77,.468,18,47,.385,18,31,.593,.583,6,7,.821,9,24,32,34,5,1,7,13,96
417,Olivier-Maxence Prosper,PF,21,DAL,40,1,84,10,26,.385,3,11,.289,7,15,.458,.447,7,10,.683,6,14,20,6,2,1,2,5,30
418,Trevelin Queen,SG,26,ORL,14,0,118,10,27,.368,2,12,.176,8,15,.524,.408,6,9,.750,2,12,14,13,5,4,5,11,29
419,Neemias Queta,C,24,BOS,28,0,119,24,37,.644,0,0,,24,37,.644,.644,7,10,.714,19,25,44,7,5,8,5,18,55
420,Immanuel Quickley,PG-SG,24,TOT,68,38,292,57,131,.434,25,64,.395,32,68,.471,.530,31,36,.853,3,36,38,49,7,1,15,18,170
420,Immanuel Quickley,SG,24,NYK,30,0,240,51,112,.454,21,54,.395,29,58,.509,.549,27,31,.872,2,24,26,25,5,1,10,15,150
420,Immanuel Quickley,PG,24,TOR,38,38,333,62,147,.422,28,71,.395,34,76,.448,.518,33,40,.841,3,45,48,68,9,2,18,20,186
421,Lester Quinones,SG,23,GSW,37,0,106,15,38,.397,9,24,.364,6,14,.453,.511,5,8,.690,6,14,19,10,2,1,5,12,44
422,Jahmi'us Ramsey,SG,22,TOR,7,1,173,26,59,.439,9,31,.273,17,27,.632,.512,7,9,.833,6,26,31,11,10,0,10,14,67
423,Julius Randle,PF,29,NYK,46,46,354,86,182,.472,17,53,.311,69,129,.539,.518,51,66,.781,22,70,92,50,5,3,35,27,240
424,Duop Reath,C,27,POR,68,20,179,34,73,.461,13,36,.359,21,37,.559,.549,10,14,.742,14,23,37,10,5,6,8,24,91
425,Austin Reaves,SG,25,LAL,82,57,321,56,115,.486,19,51,.367,37,63,.583,.568,28,33,.853,7,36,43,55,8,3,21,19,159
426,Cam Reddish,SF,24,LAL,48,26,205,19,49,.389,8,23,.336,11,26,.435,.468,9,11,.759,6,15,21,10,10,3,6,13,54
427,Paul Reed,C,24,PHI,82,24,194,32,59,.540,3,7,.368,29,52,.563,.561,7,10,.718,24,36,60,13,8,10,8,24,73
428,Naz Reid,C,24,MIN,81,14,242,50,105,.477,21,50,.414,29,55,.535,.576,13,18,.736,9,43,52,13,8,9,14,21,135
429,Jared Rhoden,SG,24,DET,17,0,144,19,39,.500,7,18,.387,12,21,.600,.591,3,5,.625,2,18,19,8,2,8,4,16,49
430,Nick Richards,C,26,CHO,67,51,263,39,56,.691,0,0,.000,39,56,.693,.691,20,27,.737,26,55,80,8,4,11,11,26,97
431,Josh Richardson,SG,30,MIA,43,6,257,36,81,.444,15,44,.347,20,37,.561,.539,12,13,.944,4,24,28,24,6,3,8,18,99
432,Duncan Robinson,SF,29,MIA,68,36,280,45,99,.450,28,70,.395,17,30,.579,.589,12,13,.889,2,23,25,28,7,2,14,24,129
433,Jerome Robinson,SG,26,GSW,22,0,37,5,15,.333,1,8,.118,4,7,.563,.364,3,5,.636,0,2,3,2,0,1,1,2,14
434,Mitchell Robinson,C,25,NYK,31,21,248,24,41,.575,0,0,,24,41,.575,.575,9,21,.409,46,39,85,6,12,11,8,18,56
435,Orlando Robinson,C,23,MIA,36,7,84,10,20,.500,2,4,.533,8,16,.491,.556,5,7,.760,8,16,23,9,2,2,5,10,28
436,Jeremiah Robinson-Earl,PF,23,NOP,39,1,86,12,24,.474,3,10,.333,8,14,.571,.542,3,4,.750,6,14,19,5,3,1,4,6,29
437,David Roddy,PF,22,TOT,65,13,181,25,63,.403,7,25,.293,18,38,.478,.462,7,10,.691,8,24,32,12,4,2,9,11,65
437,David Roddy,PF,22,MEM,48,13,232,32,80,.402,10,33,.301,23,48,.470,.462,10,14,.687,11,31,42,16,5,2,11,14,84
437,David Roddy,PF,22,PHO,17,0,37,6,14,.435,1,5,.125,5,9,.600,.457,1,1,1.000,1,5,6,2,1,0,2,2,13
438,Ryan Rollins,PG,21,TOT,13,0,60,11,21,.519,2,3,.750,8,18,.478,.574,10,13,.765,2,8,10,11,8,2,6,6,34
438,Ryan Rollins,PG,21,WAS,10,0,66,13,25,.520,2,3,.667,11,22,.500,.560,13,17,.765,2,9,11,11,8,3,7,7,41
438,Ryan Rollins,PG,21,MIL,3,0,40,3,7,.500,3,3,1.000,0,3,.000,.750,0,0,,0,7,7,10,7,0,3,3,10
439,Derrick Rose,PG,35,MEM,24,7,166,32,69,.461,6,17,.366,25,52,.492,.506,10,11,.889,3,16,19,33,3,1,13,9,80
440,Terry Rozier,PG-SG,29,TOT,61,60,334,72,164,.443,24,67,.363,48,96,.498,.518,28,32,.869,6,35,40,56,10,3,17,17,198
440,Terry Rozier,SG,29,CHO,30,30,355,84,183,.459,28,77,.358,56,106,.533,.535,36,43,.845,6,33,39,66,11,4,22,17,232
440,Terry Rozier,PG,29,MIA,31,30,315,61,145,.423,21,57,.371,40,87,.458,.497,20,22,.913,6,36,42,46,10,3,13,16,164
441,Rayan Rupert,SG,19,POR,39,12,162,14,41,.335,7,20,.359,7,21,.313,.422,5,6,.760,6,17,24,16,3,1,8,14,40
442,D'Angelo Russell,PG,27,LAL,76,69,327,65,142,.456,30,72,.415,35,70,.497,.560,21,25,.828,4,27,31,63,9,5,21,21,180
443,Matt Ryan,SF,26,NOP,28,1,139,18,40,.434,15,33,.451,3,8,.364,.615,5,5,.929,2,12,14,6,2,0,7,11,54
444,Domantas Sabonis,C,27,SAC,82,82,357,77,130,.594,4,11,.379,73,120,.613,.609,36,51,.704,36,101,137,82,9,6,33,30,194
445,Luka Šamanić,PF,24,UTA,43,7,94,14,37,.380,3,15,.203,11,22,.500,.421,10,13,.786,5,19,24,4,1,2,7,7,41
446,Jermaine Samuels,SF,25,HOU,14,0,43,6,10,.643,0,1,.000,6,9,.750,.643,1,1,1.000,2,7,9,2,1,1,0,4,14
447,Adama Sanogo,PF,21,CHI,9,0,73,16,30,.519,0,0,,16,30,.519,.519,9,13,.667,21,19,40,0,1,0,6,6,40
448,Gui Santos,PF,21,GSW,23,0,83,12,24,.509,4,12,.370,8,12,.643,.600,7,7,.941,7,14,21,6,2,1,3,10,36
449,Dario Šarić,C,29,GSW,64,9,172,28,61,.466,12,31,.376,17,30,.560,.562,12,15,.849,11,33,44,23,5,2,12,18,80
450,Olivier Sarr,C,24,OKC,15,0,65,7,13,.579,1,4,.333,6,9,.692,.632,7,10,.667,7,17,24,1,0,5,2,12,23
451,Marcus Sasser,PG,23,DET,71,11,190,31,72,.428,13,34,.375,18,38,.474,.516,8,9,.879,2,16,18,33,6,2,13,15,83
452,Admiral Schofield,PF,26,ORL,23,0,37,4,11,.385,3,7,.375,2,4,.400,.500,0,1,.000,1,6,7,3,0,0,2,4,11
453,Dennis Schröder,PG,30,TOT,80,58,311,50,116,.435,17,46,.375,33,70,.474,.509,22,27,.836,5,25,30,61,8,2,19,21,140
453,Dennis Schröder,PG,30,TOR,51,33,306,48,110,.442,15,43,.350,33,66,.501,.511,25,29,.852,4,23,27,61,9,2,16,21,137
453,Dennis Schröder,PG,30,BRK,29,25,320,54,127,.424,21,51,.412,33,76,.432,.507,18,22,.797,6,29,35,60,6,3,24,20,146
454,Dereon Seabron,SG,23,NOP,6,0,92,7,22,.308,2,3,.500,5,18,.273,.346,8,10,.833,2,10,12,8,3,2,0,7,23
455,Alperen Sengun,C,21,HOU,63,63,325,84,156,.537,5,18,.297,78,138,.567,.553,39,56,.693,29,64,93,50,12,7,26,33,211
456,Brice Sensabaugh,SF,20,UTA,32,11,183,27,68,.390,11,36,.296,16,32,.495,.468,12,13,.902,5,27,32,17,4,2,15,13,75
457,Collin Sexton,SG,25,UTA,78,51,266,65,133,.487,16,42,.394,48,91,.530,.549,41,47,.859,9,17,26,49,8,2,21,20,187
458,Landry Shamet,SG,26,WAS,46,5,158,26,60,.431,12,34,.338,14,25,.556,.527,8,10,.826,3,10,13,12,5,2,7,17,71
459,Day'Ron Sharpe,C,22,BRK,61,1,151,28,48,.571,1,2,.267,27,46,.588,.578,12,20,.610,26,37,64,14,4,7,11,21,68
460,Shaedon Sharpe,SG,20,POR,32,25,331,55,136,.406,19,56,.333,36,79,.457,.475,31,37,.824,13,37,50,29,9,4,23,28,159
461,Ben Sheppard,SG,22,IND,57,1,143,16,40,.393,9,27,.314,7,13,.562,.500,4,5,.885,3,13,16,9,6,0,3,15,44
462,Pascal Siakam,PF,29,TOT,80,80,332,85,159,.536,11,31,.346,75,128,.581,.569,36,50,.732,17,53,71,43,8,3,18,24,217
462,Pascal Siakam,PF,29,TOR,39,39,347,83,160,.522,12,37,.317,72,123,.584,.559,43,57,.758,14,49,63,49,8,3,21,22,222
462,Pascal Siakam,PF,29,IND,41,41,318,87,158,.549,10,25,.386,77,133,.580,.579,30,42,.699,21,57,78,37,8,4,14,26,213
463,Ben Simmons,PG,27,BRK,15,12,239,29,49,.581,0,0,,29,49,.581,.581,4,10,.400,21,59,79,57,8,6,18,24,61
464,Kobi Simmons,PG,26,TOR,4,0,168,23,53,.429,5,20,.250,18,33,.538,.476,0,0,,3,15,18,30,15,5,3,13,50
465,Anfernee Simons,SG,24,POR,46,46,344,78,182,.430,34,88,.385,44,94,.472,.523,35,39,.916,5,32,36,55,5,1,27,21,226
466,Zavier Simpson,PG,26,MEM,7,0,230,24,77,.315,7,24,.294,17,53,.324,.361,4,6,.750,6,23,29,36,10,4,14,16,60
467,Jericho Sims,C,25,NYK,45,11,130,8,12,.691,0,0,,8,12,.691,.691,4,5,.667,12,20,33,6,2,4,4,10,20
468,Dmytro Skapintsev,C,25,NYK,2,0,10,0,5,.000,0,0,,0,5,.000,.000,0,0,,0,0,0,0,0,0,0,0,0
469,Jalen Slawson,SF,24,SAC,12,0,31,3,5,.667,0,2,.000,3,3,1.000,.667,0,0,,1,5,6,2,1,1,2,7,7
470,Javonte Smart,PG,24,PHI,1,0,10,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
471,Marcus Smart,PG,29,MEM,20,20,303,51,119,.430,21,67,.313,30,52,.583,.519,22,28,.768,3,24,27,43,21,3,31,27,145
472,Dennis Smith Jr.,PG,26,BRK,56,2,189,26,60,.435,6,19,.294,21,41,.502,.482,8,10,.741,9,20,29,36,12,2,12,22,66
473,Dru Smith,SG,26,MIA,9,0,146,17,37,.455,8,19,.412,9,18,.500,.561,2,2,1.000,7,9,16,16,10,3,6,13,43
474,Ish Smith,PG,35,CHO,43,5,172,15,37,.418,1,2,.500,14,35,.413,.430,1,1,.750,3,15,18,34,4,1,11,11,32
475,Jabari Smith Jr.,PF,20,HOU,76,76,319,50,110,.454,18,50,.363,32,60,.530,.537,20,24,.811,18,63,81,16,7,8,12,26,137
476,Jalen Smith,C,23,IND,61,14,172,38,65,.592,10,24,.424,28,41,.689,.670,12,17,.692,18,37,55,10,3,6,7,20,99
477,Nick Smith Jr.,SG,19,CHO,51,0,143,22,57,.391,12,29,.432,10,28,.350,.500,3,3,.867,4,11,14,12,2,1,8,11,59
478,Terquavion Smith,PG,21,PHI,16,0,53,11,29,.391,8,22,.371,3,7,.455,.533,2,3,.600,0,3,3,8,5,0,4,5,33
479,Jeremy Sochan,PF,20,SAS,74,73,296,46,105,.438,9,31,.308,36,74,.492,.483,15,19,.771,19,46,64,34,8,5,19,23,116
480,Pat Spencer,PG,27,GSW,6,0,43,3,7,.500,0,3,.000,3,3,1.000,.500,0,0,,3,3,7,8,0,0,2,2,7
481,Jaden Springer,SG-PG,21,TOT,49,2,103,12,30,.399,2,10,.208,10,20,.490,.432,7,9,.833,7,9,16,9,7,3,7,13,33
481,Jaden Springer,SG,21,PHI,32,1,118,14,37,.390,3,12,.216,12,25,.469,.424,9,11,.824,8,10,18,11,8,3,8,15,40
481,Jaden Springer,PG,21,BOS,17,1,76,8,18,.433,1,6,.182,6,11,.579,.467,4,5,.875,5,7,12,5,6,2,5,10,21
482,Lamar Stevens,PF,26,TOT,38,3,147,28,63,.450,4,12,.304,25,51,.485,.479,11,14,.778,9,24,33,7,6,6,6,12,72
482,Lamar Stevens,PF,26,BOS,19,1,64,11,24,.467,2,4,.375,9,19,.486,.500,4,6,.727,6,10,16,4,3,3,5,7,28
482,Lamar Stevens,PF,26,MEM,19,2,230,46,103,.446,6,20,.289,40,83,.484,.474,18,23,.791,13,38,51,11,9,9,8,16,115
483,Isaiah Stewart,PF,22,DET,46,45,309,40,83,.487,15,38,.383,26,45,.575,.575,14,18,.753,16,50,66,16,4,8,14,22,109
484,Julian Strawther,SF,21,DEN,50,0,109,16,44,.369,8,28,.297,8,17,.488,.462,4,6,.710,1,11,12,9,3,1,5,11,45
485,Max Strus,SF,27,CLE,70,70,320,43,104,.418,24,68,.351,19,36,.546,.533,11,14,.794,9,39,48,40,9,4,16,24,122
486,Jalen Suggs,SG,22,ORL,75,75,270,45,95,.471,20,51,.397,24,44,.556,.578,16,21,.756,6,24,31,27,14,6,18,27,126
487,Cole Swider,SF,24,MIA,18,0,48,8,21,.395,6,17,.333,3,4,.625,.526,1,1,1.000,1,3,4,3,1,1,4,2,23
488,Jae'Sean Tate,SF,28,HOU,65,9,159,17,35,.472,4,12,.299,13,23,.559,.522,4,6,.667,9,21,30,10,6,2,6,21,41
489,Jayson Tatum,PF,25,BOS,74,74,357,91,193,.471,31,82,.376,60,110,.542,.552,56,67,.833,9,72,81,49,10,6,25,20,269
490,Terry Taylor,PF,24,CHI,31,0,61,6,13,.513,1,3,.222,6,10,.600,.538,1,2,.800,5,6,12,3,2,1,2,5,15
491,Garrett Temple,SG,37,TOR,27,2,107,11,29,.372,4,15,.300,6,14,.447,.449,7,8,.818,7,10,17,10,4,1,5,10,33
492,Dalen Terry,SG,21,CHI,59,2,115,12,27,.439,3,13,.230,9,14,.627,.494,4,7,.581,5,14,19,14,5,3,5,14,31
493,Daniel Theis,C,31,TOT,60,3,169,26,49,.532,4,12,.366,22,37,.586,.577,6,8,.760,14,27,41,10,4,9,7,21,63
493,Daniel Theis,C,31,IND,1,0,80,10,40,.250,0,10,.000,10,30,.333,.250,0,0,,0,0,0,0,0,0,0,10,20
493,Daniel Theis,C,31,LAC,59,3,171,26,49,.536,4,12,.371,22,37,.589,.581,6,8,.760,14,27,41,10,4,9,7,21,63
494,Cam Thomas,SG,22,BRK,66,51,314,80,180,.442,22,60,.364,58,120,.481,.503,43,51,.856,4,28,32,29,7,2,19,21,225
495,Isaiah Thomas,PG,34,PHO,6,0,32,5,17,.300,3,7,.500,2,10,.167,.400,0,0,,0,0,0,5,0,0,0,0,13
496,Amen Thompson,SF,21,HOU,62,23,224,39,72,.536,1,9,.138,37,63,.595,.545,17,25,.684,24,42,66,26,13,6,15,23,95
497,Ausar Thompson,SF,21,DET,63,38,251,37,76,.483,3,18,.186,33,58,.575,.505,11,19,.597,20,43,64,19,11,9,13,28,88
498,Klay Thompson,SF,33,GSW,77,63,297,64,147,.432,35,90,.387,29,57,.503,.551,16,18,.927,5,28,33,23,6,5,15,16,179
499,Tristan Thompson,C,32,CLE,49,0,112,15,24,.608,0,0,.000,15,24,.613,.608,3,11,.288,15,21,36,10,2,3,6,12,33
500,JT Thor,PF,21,CHO,63,3,124,13,29,.437,4,13,.346,8,16,.510,.514,2,3,.550,7,16,23,5,2,4,2,10,32
501,Matisse Thybulle,SF,26,POR,65,19,229,19,49,.397,12,36,.346,7,13,.535,.524,3,4,.759,5,16,21,14,17,8,6,14,54
502,Xavier Tillman Sr.,C-PF,25,TOT,54,15,180,22,52,.434,4,15,.247,19,37,.510,.470,4,9,.440,13,26,39,14,9,8,6,14,53
502,Xavier Tillman Sr.,C,25,MEM,34,13,206,26,63,.408,4,16,.226,22,47,.469,.437,5,13,.419,16,30,46,17,12,10,9,18,60
502,Xavier Tillman Sr.,PF,25,BOS,20,2,137,17,33,.515,4,14,.286,13,19,.684,.576,2,4,.571,7,20,27,10,5,5,3,8,40
503,Jacob Toppin,SF,23,NYK,9,0,42,6,10,.556,1,4,.250,4,6,.800,.611,2,2,1.000,3,4,8,3,0,1,1,3,14
504,Obi Toppin,PF,25,IND,82,28,211,40,71,.573,12,31,.403,28,40,.706,.661,9,12,.770,10,29,39,16,6,5,8,17,103
505,Juan Toscano-Anderson,SF,30,SAC,11,0,48,3,11,.250,1,4,.250,2,7,.250,.292,0,0,,4,9,13,4,1,1,2,10,6
506,Karl-Anthony Towns,PF,28,MIN,62,62,327,77,153,.504,22,53,.416,55,101,.550,.575,41,47,.873,15,68,83,30,7,7,29,33,218
507,Gary Trent Jr.,SG,25,TOR,71,41,281,51,119,.426,25,64,.393,26,55,.464,.531,10,14,.771,4,23,26,17,11,1,7,14,137
508,Oscar Tshiebwe,PF,24,IND,8,0,53,13,25,.500,0,0,,13,25,.500,.500,8,10,.750,10,10,20,3,3,1,0,4,33
509,P.J. Tucker,PF,38,TOT,31,10,157,6,16,.360,4,11,.371,2,5,.333,.490,1,1,1.000,9,18,27,5,5,2,3,17,17
509,P.J. Tucker,PF,38,PHI,3,3,220,7,17,.400,7,17,.400,0,0,,.600,0,0,,3,43,47,0,10,7,7,30,20
509,P.J. Tucker,PF,38,LAC,28,7,150,6,16,.356,4,11,.367,2,5,.333,.478,1,1,1.000,10,16,25,6,5,2,2,16,16
510,Myles Turner,C,27,IND,77,77,270,62,118,.524,15,42,.358,47,76,.615,.587,32,41,.773,15,55,69,13,5,19,14,30,171
511,Hunter Tyson,PF,23,DEN,18,0,27,4,11,.400,2,8,.286,2,3,.667,.500,0,0,,1,4,5,1,1,0,1,6,11
512,Stanley Umude,SG,24,DET,24,2,128,15,35,.440,10,22,.453,5,13,.419,.583,12,13,.906,3,18,21,5,3,3,6,17,53
513,Jonas Valančiūnas,C,31,NOP,82,82,235,49,88,.559,5,15,.308,45,73,.609,.585,20,25,.785,23,65,88,21,4,8,14,27,122
514,Jarred Vanderbilt,PF,24,LAL,29,6,200,20,39,.518,3,9,.296,18,30,.586,.553,8,12,.667,14,33,48,12,12,2,10,15,52
515,Fred VanVleet,PG,29,HOU,73,73,368,58,139,.416,31,80,.387,27,59,.454,.527,27,31,.860,5,34,38,81,14,8,17,25,174
516,Devin Vassell,SG,23,SAS,68,62,331,73,155,.472,24,66,.372,49,90,.544,.550,24,30,.801,4,34,38,41,11,3,16,11,195
517,Sasha Vezenkov,PF,28,SAC,42,0,122,20,45,.440,11,29,.375,9,17,.549,.558,3,4,.800,7,16,23,5,5,2,3,10,54
518,Gabe Vincent,PG,27,LAL,11,0,198,14,45,.306,3,25,.107,11,19,.571,.337,1,2,.500,4,5,8,19,8,0,5,17,31
519,Nikola Vučević,C,33,CHI,76,74,343,77,159,.484,12,41,.294,65,118,.550,.522,14,17,.822,28,78,105,33,7,8,16,25,180
520,Tristan Vukcevic,C,20,WAS,10,4,153,29,67,.433,10,36,.278,19,31,.613,.507,17,22,.773,6,30,36,13,5,7,10,28,85
521,Dean Wade,PF,27,CLE,54,32,205,18,43,.414,15,37,.391,3,6,.567,.584,4,5,.769,7,34,40,8,7,5,4,17,54
522,Franz Wagner,SF,22,ORL,72,72,325,73,152,.482,13,46,.281,60,106,.570,.525,38,44,.850,10,43,53,37,11,4,19,23,197
523,Moritz Wagner,C,26,ORL,80,1,177,42,69,.601,5,14,.330,37,55,.673,.636,21,26,.814,15,29,43,12,5,3,12,20,109
524,Ish Wainright,SF,29,TOT,11,0,56,6,22,.292,6,18,.350,0,4,.000,.438,2,2,1.000,3,10,13,1,4,1,2,7,21
524,Ish Wainright,SF,29,POR,7,0,66,9,26,.333,9,23,.375,0,3,.000,.500,3,3,1.000,0,13,13,0,3,1,1,6,29
524,Ish Wainright,SF,29,PHO,4,0,40,3,15,.167,3,10,.250,0,5,.000,.250,0,0,,8,5,13,3,5,0,3,10,8
525,Jabari Walker,SF,21,POR,72,23,236,33,71,.460,6,19,.295,27,51,.522,.500,18,24,.754,21,50,71,10,6,3,9,24,89
526,Jarace Walker,PF,20,IND,33,0,103,14,33,.409,7,17,.400,7,17,.418,.509,2,3,.889,4,15,19,12,5,3,5,9,36
527,Lonnie Walker IV,SG,25,BRK,58,0,174,36,85,.423,18,47,.384,18,38,.471,.528,8,10,.763,2,20,22,13,6,3,9,12,97
528,Cason Wallace,SG,20,OKC,82,13,206,26,54,.491,12,29,.419,15,25,.572,.602,4,5,.784,6,16,23,15,9,5,5,16,68
529,Jordan Walsh,SF,19,BOS,9,1,92,7,17,.400,2,10,.222,4,7,.667,.467,1,2,.500,6,17,22,6,6,1,3,12,17
530,T.J. Warren,SF,30,MIN,11,0,114,16,37,.439,2,12,.154,15,25,.571,.463,3,4,.750,5,15,20,8,4,1,4,10,37
531,P.J. Washington,PF,25,TOT,73,45,304,48,111,.436,18,57,.320,30,55,.558,.518,14,20,.683,12,45,56,19,10,8,13,23,129
531,P.J. Washington,PF,25,CHO,44,17,292,52,116,.446,18,55,.324,34,60,.558,.524,15,21,.713,12,41,53,22,9,7,15,25,136
531,P.J. Washington,PF,25,DAL,29,28,322,44,104,.421,18,58,.314,26,46,.556,.508,11,18,.627,11,51,62,15,12,9,10,20,117
532,TyTy Washington Jr.,PG,22,MIL,11,0,51,5,18,.300,2,5,.333,4,13,.286,.350,0,0,,1,4,5,5,3,0,2,1,13
533,Yuta Watanabe,SF,29,TOT,34,0,136,12,34,.353,7,25,.294,5,9,.516,.461,3,5,.588,3,13,16,4,4,2,6,11,34
533,Yuta Watanabe,SF,29,PHO,29,0,132,12,33,.361,8,26,.320,4,8,.500,.485,3,5,.667,4,12,16,3,3,2,6,12,36
533,Yuta Watanabe,SF,29,MEM,5,0,164,12,38,.316,2,20,.100,10,18,.556,.342,0,4,.000,0,18,18,10,6,0,6,10,26
534,Lindy Waters III,SG,26,OKC,38,0,74,13,27,.471,10,22,.435,3,5,.632,.649,1,1,1.000,2,9,11,6,1,2,2,6,36
535,Trendon Watford,PF,23,BRK,63,2,136,26,49,.527,4,11,.397,22,39,.564,.571,12,15,.794,8,23,31,13,4,3,10,17,69
