Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
164,Usman Garuba,PF,21,GSW,6,0,30,2,10,.167,0,2,.000,2,8,.200,.167,2,3,.500,5,7,12,2,2,5,3,3,5
165,Luka Garza,C,25,MIN,25,0,49,14,30,.480,4,13,.281,11,17,.628,.540,7,10,.720,8,5,12,2,2,0,2,10,40
166,Kaiser Gates,SF,27,NOP,1,0,70,0,40,.000,0,20,.000,0,20,.000,.000,0,0,,0,10,10,0,0,0,0,0,0
167,Keyonte George,PG,20,UTA,75,44,270,43,109,.391,20,59,.334,23,50,.459,.482,25,30,.848,2,26,28,44,5,1,25,12,130
168,Paul George,PF,33,LAC,74,74,338,79,167,.471,33,79,.413,46,88,.523,.569,36,39,.907,5,47,52,35,15,5,21,27,226
169,Taj Gibson,PF,38,TOT,20,1,102,8,19,.405,1,5,.200,7,14,.481,.432,1,1,1.000,6,13,19,6,2,4,3,16,17
169,Taj Gibson,PF,38,NYK,16,1,103,4,14,.304,0,4,.000,4,11,.412,.304,1,1,1.000,6,11,18,6,1,4,3,18,10
169,Taj Gibson,PF,38,DET,4,0,98,20,35,.571,5,10,.500,15,25,.600,.643,0,0,,5,18,23,5,3,3,0,8,45
170,Josh Giddey,SG,21,OKC,80,80,251,50,106,.475,10,30,.337,40,76,.530,.523,13,16,.806,14,50,64,48,6,6,21,14,123
171,Harry Giles,C,25,TOT,23,0,43,10,22,.460,1,6,.214,9,16,.556,.490,3,6,.538,5,8,13,3,1,1,3,7,24
171,Harry Giles,C,25,BRK,16,0,51,14,28,.500,2,7,.273,12,21,.576,.534,4,8,.538,8,9,16,4,1,2,4,9,34
171,Harry Giles,C,25,LAL,7,0,27,1,9,.167,0,4,.000,1,4,.333,.167,0,0,,0,6,6,0,1,0,0,0,3
172,Shai Gilgeous-Alexander,PG,25,OKC,75,75,340,106,198,.535,13,36,.353,93,162,.576,.567,76,87,.874,9,47,55,62,20,9,22,25,301
173,Anthony Gill,PF,31,WAS,50,3,93,15,32,.469,2,8,.244,13,24,.546,.500,6,7,.806,7,11,19,7,3,2,5,10,38
